M,geogebra,for cas and graphs
M,libreoffice,a office alternative
M,texlive-most,for latex
M,biber,for compiling bibtex citation lists for latex
M,sagemath,for doing math
M,zathura,for handling a varity of documents
M,zathura-pdf-mupdf,for opening pdfs in Zathura
